1,soda|whole milk,19
1,whole milk|yogurt,19
1,other vegetables|rolls/buns,17
1,rolls/buns|whole milk,17
1,tropical fruit|whole milk,15
1,other vegetables|whole milk,15
1,rolls/buns|tropical fruit,13
1,other vegetables|soda,13
1,other vegetables|tropical fruit,12
1,rolls/buns|yogurt,12
1,sausage|whole milk,12
1,bottled beer|whole milk,12
1,sausage|yogurt,11
1,frankfurter|whole milk,10
1,citrus fruit|whole milk,10
1,newspapers|whole milk,10
1,rolls/buns|soda,9
1,other vegetables|root vegetables,9
1,shopping bags|whole milk,9
1,other vegetables|yogurt,9
1,citrus fruit|other vegetables,9
1,sausage|soda,9
1,brown bread|other vegetables,9
1,pip fruit|rolls/buns,9
1,root vegetables|whole milk,9
1,butter|root vegetables,9
1,other vegetables|shopping bags,9
1,citrus fruit|tropical fruit,8
1,root vegetables|soda,8
1,fruit/vegetable juice|rolls/buns,8
1,domestic eggs|rolls/buns,8
1,soda|yogurt,8
1,bottled water|soda,8
1,domestic eggs|whole milk,8
1,oil|other vegetables,7
1,sausage|tropical fruit,7
1,curd|whole milk,7
1,white bread|whole milk,7
1,bottled water|whole milk,7
1,curd|rolls/buns,7
1,bottled beer|other vegetables,7
1,beef|whole milk,7
1,bottled water|tropical fruit,7
1,other vegetables|sausage,7
1,hamburger meat|rolls/buns,7
1,citrus fruit|whipped/sour cream,7
1,canned beer|soda,7
1,other vegetables|white bread,6
1,citrus fruit|rolls/buns,6
1,bottled beer|yogurt,6
1,tropical fruit|yogurt,6
1,hamburger meat|whole milk,6
1,dessert|rolls/buns,6
1,frozen vegetables|other vegetables,6
1,other vegetables|pip fruit,6
1,newspapers|root vegetables,6
1,brown bread|whole milk,6
1,other vegetables|whipped/sour cream,6
1,newspapers|other vegetables,6
1,meat|whole milk,6
1,soda|whipped/sour cream,6
1,pork|yogurt,6
1,rolls/buns|sausage,6
1,butter|whole milk,6
1,rolls/buns|root vegetables,6
1,frankfurter|other vegetables,6
1,pip fruit|whole milk,6
1,domestic eggs|other vegetables,6
1,brown bread|waffles,6
1,pip fruit|root vegetables,6
1,root vegetables|sausage,6
1,cream cheese |whole milk,6
1,curd|yogurt,6
1,bottled beer|newspapers,6
1,bottled beer|tropical fruit,5
1,shopping bags|yogurt,5
1,ice cream|other vegetables,5
1,canned beer|whole milk,5
1,other vegetables|waffles,5
1,chicken|rolls/buns,5
1,citrus fruit|yogurt,5
1,tropical fruit|whipped/sour cream,5
1,pork|whole milk,5
1,bottled beer|rolls/buns,5
1,coffee|rolls/buns,5
1,canned beer|other vegetables,5
1,bottled beer|frankfurter,5
1,shopping bags|soda,5
1,curd|soda,5
1,bottled water|domestic eggs,5
1,waffles|whole milk,5
1,bottled beer|bottled water,5
