sausage,snack products,3,27,0.1111111111111111,903,0.06034886052262247,0.050762250588488635
rolls/buns,snack products,4,27,0.14814814814814814,1646,0.11000467820624206,0.03814346994190608
whole milk,snack products,3,27,0.1111111111111111,2363,0.15792287642852368,-0.046811765317412574
soda,snack products,5,27,0.18518518518518517,1453,0.09710619528169484,0.08807898990349033
tropical fruit,snack products,3,27,0.1111111111111111,1014,0.0677671589921807,0.0433439521189304
other vegetables,pickled vegetables,8,134,0.05970149253731343,1827,0.12210118291786407,-0.06239969038055063
ham,pickled vegetables,8,134,0.05970149253731343,256,0.0171088685424046,0.04259262399490883
yogurt,pickled vegetables,7,134,0.05223880597014925,1285,0.08587850030074183,-0.03363969433059258
rolls/buns,pickled vegetables,12,134,0.08955223880597014,1646,0.11000467820624206,-0.020452439400271916
whole milk,pickled vegetables,15,134,0.11194029850746269,2363,0.15792287642852368,-0.04598257792106099
yogurt,beverages,14,248,0.056451612903225805,1285,0.08587850030074183,-0.029426887397516026
rolls/buns,beverages,18,248,0.07258064516129033,1646,0.11000467820624206,-0.03742403304495173
sausage,beverages,23,248,0.09274193548387097,903,0.06034886052262247,0.0323930749612485
whole milk,beverages,29,248,0.11693548387096774,2363,0.15792287642852368,-0.04098739255755594
domestic eggs,vinegar,4,51,0.0784313725490196,555,0.037091492347791216,0.04133988020122839
frankfurter,vinegar,3,51,0.058823529411764705,565,0.037759807525228894,0.02106372188653581
long life bakery product,vinegar,3,51,0.058823529411764705,268,0.017910846755329814,0.04091268265643489
newspapers,vinegar,4,51,0.0784313725490196,582,0.038895943326872955,0.03953542922214665
soda,vinegar,6,51,0.11764705882352941,1453,0.09710619528169484,0.02054086354183457
rolls/buns,vinegar,7,51,0.13725490196078433,1646,0.11000467820624206,0.027250223754542266
chicken,vinegar,4,51,0.0784313725490196,417,0.027868742899151238,0.050562629649868365
shopping bags,vinegar,4,51,0.0784313725490196,712,0.04758404063356279,0.03084733191545682
whole milk,red/blush wine,13,157,0.08280254777070063,2363,0.15792287642852368,-0.07512032865782305
yogurt,red/blush wine,9,157,0.05732484076433121,1285,0.08587850030074183,-0.02855365953641062
bottled beer,cat food,12,177,0.06779661016949153,678,0.04531176903027468,0.022484841139216845
other vegetables,cat food,11,177,0.062146892655367235,1827,0.12210118291786407,-0.05995429026249683
soda,cat food,12,177,0.06779661016949153,1453,0.09710619528169484,-0.029309585112203315
fruit/vegetable juice,cat food,11,177,0.062146892655367235,509,0.03401724253157789,0.028129650123789346
brown bread,dishes,8,135,0.05925925925925926,563,0.03762614448974136,0.021633114769517903
canned beer,dishes,11,135,0.08148148148148149,702,0.04691572545612511,0.03456575602535638
whole milk,dishes,14,135,0.1037037037037037,2363,0.15792287642852368,-0.05421917272481998
yogurt,dishes,7,135,0.05185185185185185,1285,0.08587850030074183,-0.03402664844888998
pastry,dishes,10,135,0.07407407407407407,774,0.0517275947336764,0.02234647934039767
rolls/buns,dishes,11,135,0.08148148148148149,1646,0.11000467820624206,-0.02852319672476057
soda,dishes,10,135,0.07407407407407407,1453,0.09710619528169484,-0.02303212120762077
frankfurter,dishes,8,135,0.05925925925925926,565,0.037759807525228894,0.021499451734030367
other vegetables,cake bar,6,92,0.06521739130434782,1827,0.12210118291786407,-0.05688379161351624
rolls/buns,cake bar,8,92,0.08695652173913043,1646,0.11000467820624206,-0.023048156467111627
whole milk,cake bar,11,92,0.11956521739130435,2363,0.15792287642852368,-0.03835765903721933
curd,cake bar,5,92,0.05434782608695652,504,0.03368308494285905,0.02066474114409747
shopping bags,cake bar,7,92,0.07608695652173914,712,0.04758404063356279,0.02850291588817635
sausage,cake bar,10,92,0.10869565217391304,903,0.06034886052262247,0.04834679165129057
canned beer,cake bar,8,92,0.08695652173913043,702,0.04691572545612511,0.040040796283005324
soda,cake bar,7,92,0.07608695652173914,1453,0.09710619528169484,-0.021019238759955705
other vegetables,organic sausage,4,22,0.18181818181818182,1827,0.12210118291786407,0.05971699890031776
whipped/sour cream,organic sausage,3,22,0.13636363636363635,654,0.043707812604424245,0.09265582375921211
whole milk,napkins,36,331,0.10876132930513595,2363,0.15792287642852368,-0.04916154712338773
other vegetables,napkins,32,331,0.09667673716012085,1827,0.12210118291786407,-0.02542444575774322
pastry,napkins,26,331,0.07854984894259819,774,0.0517275947336764,0.026822254208921786
rolls/buns,napkins,26,331,0.07854984894259819,1646,0.11000467820624206,-0.031454829263643874
soda,napkins,23,331,0.06948640483383686,1453,0.09710619528169484,-0.027619790447857978
soda,meat,15,252,0.05952380952380952,1453,0.09710619528169484,-0.03758238575788532
yogurt,meat,14,252,0.05555555555555555,1285,0.08587850030074183,-0.030322944745186278
rolls/buns,meat,20,252,0.07936507936507936,1646,0.11000467820624206,-0.0306395988411627
whole milk,meat,33,252,0.13095238095238096,2363,0.15792287642852368,-0.02697049547614272
whole milk,frozen vegetables,57,419,0.1360381861575179,2363,0.15792287642852368,-0.021884690271005786
soda,frozen vegetables,30,419,0.07159904534606205,1453,0.09710619528169484,-0.025507149935632786
chocolate,frozen fish,6,102,0.058823529411764705,353,0.02359152576355009,0.03523200364821462
